frame,count
0,11
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
9,10
10,10
11,10
12,10
13,11
14,11
15,11
16,12
17,11
18,11
19,10
20,9
21,9
22,10
23,10
24,10
25,10
26,9
27,10
28,10
29,12
30,10
31,11
32,10
33,11
34,11
35,11
36,10
37,8
38,9
39,10
40,9
41,9
42,8
43,7
44,10
45,10
46,11
47,9
48,11
49,11
50,10
51,10
52,10
53,8
54,10
55,9
56,8
57,8
58,8
59,8
60,8
61,11
62,10
63,10
64,10
65,11
66,10
67,8
68,9
69,10
70,11
71,10
72,9
73,9
74,11
75,10
76,11
77,11
78,12
79,9
80,10
81,11
82,11
83,10
84,10
85,10
86,10
87,9
88,9
89,9
90,10
91,10
92,11
93,11
94,10
95,10
96,9
97,9
98,8
99,9
100,11
101,11
102,11
103,12
104,13
105,13
106,12
107,11
108,11
109,11
110,11
111,11
112,11
113,11
114,11
115,12
116,12
117,12
118,12
119,12
120,12
121,12
122,12
123,12
124,12
125,12
126,12
127,12
128,12
129,12
130,12
131,11
132,11
133,10
134,10
135,10
136,11
137,12
138,12
139,12
140,12
141,12
142,12
143,11
144,12
145,11
146,11
147,11
148,12
149,13
150,13
151,13
152,12
153,11
154,13
155,12
156,12
157,11
158,11
159,12
160,11
161,12
162,12
163,12
164,12
165,12
166,12
167,12
168,12
169,12
170,12
171,12
172,12
173,12
174,12
175,12
176,12
177,12
178,12
179,11
180,12
181,12
182,11
183,11
184,12
185,10
186,12
187,10
188,10
189,9
190,10
191,9
192,9
193,10
194,9
195,10
196,8
197,10
198,10
199,10
200,10
201,10
202,10
203,9
204,9
205,10
206,9
207,9
208,9
209,9
210,8
211,10
212,11
213,11
214,11
215,11
216,11
217,11
218,9
219,11
220,10
221,11
222,12
223,11
224,10
225,11
226,12
227,9
228,9
229,9
230,11
231,11
232,10
233,10
234,9
235,10
236,10
237,10
238,10
239,10
240,10
241,10
242,10
243,11
244,10
245,11
246,12
247,10
248,10
249,7
250,0
251,2
252,3
253,3
254,1
255,1
256,2
257,2
258,2
259,2
260,2
261,1
262,1
263,1
264,3
265,2
266,3
267,2
268,2
269,2
270,2
271,1
272,1
273,1
274,1
275,1
276,2
277,3
278,3
279,3
280,2
281,1
282,2
283,2
284,1
285,3
286,2
287,1
288,1
289,1
290,3
291,2
292,2
293,2
294,4
295,10
296,9
297,11
298,10
299,10
300,9
301,11
302,8
303,9
304,8
305,9
306,9
307,7
308,6
309,5
310,5
311,5
312,6
313,5
314,5
315,5
316,5
317,5
318,5
319,5
320,5
321,6
322,6
323,6
324,6
325,6
326,6
327,5
328,5
329,5
330,5
331,6
332,9
333,9
334,10
335,11
336,11
337,11
338,11
339,11
340,11
341,11
342,10
343,10
344,10
345,11
346,11
347,11
348,12
349,11
350,12
351,11
352,10
353,11
354,10
355,10
356,10
357,10
358,9
359,9
360,9
361,9
362,9
363,10
364,10
365,11
366,11
367,11
368,11
369,11
370,11
371,11
372,11
373,11
374,12
375,11
376,10
377,11
378,11
379,11
380,11
381,10
382,10
383,10
384,11
385,10
386,11
387,11
388,10
389,11
390,11
391,11
392,10
393,10
394,10
395,10
396,11
397,10
398,10
399,8
400,10
401,8
402,11
403,9
404,9
405,9
406,10
407,11
408,8
409,7
410,9
411,9
412,9
413,9
414,9
415,9
416,10
417,8
418,9
419,9
420,8
421,8
422,8
423,8
424,8
425,8
426,9
427,8
428,9
429,8
430,1
431,6
432,6
433,6
434,7
435,7
436,7
437,7
438,6
439,8
440,8
441,9
442,7
443,6
444,5
445,7
446,7
447,6
448,6
449,6
450,6
451,6
452,6
453,6
454,6
455,6
456,7
457,6
458,5
